time_s,x_pc,y_pc,z_pc,qw,qx,qy,qz,stereobase,x_km,y_km,z_km,radius_from_reference_km
11.33333333,5.318037631e-10,-3.72515484e-10,-7.240967494e-11,0.5846683425,0.6683700301,0.3296941847,0.3205404447,1,16409.749495504162,-11494.62677737206,-2234.3291064543528,20159.329101243096
12,5.656366319e-10,-3.735601112e-10,-7.261272989e-11,0.5815782561,0.662559761,0.3380388788,0.3294100963,1,17453.722743241146,-11526.860604692622,-2240.5947275246112,21036.188289016594
12.66666667,6.021756153e-10,-3.729567189e-10,-7.249544231e-11,0.578224423,0.6561728722,0.3469087615,0.3387447265,1,18581.1979625198,-11508.241863763076,-2236.9756109626774,21970.53955644378
13.33333333,6.413044371e-10,-3.70360089e-10,-7.19907086e-11,0.5745995276,0.6492051659,0.3562440269,0.3485085777,1,19788.587244704104,-11428.118237064475,-2221.401156026978,22959.19629859873
14,6.82859072e-10,-3.654280732e-10,-7.103202183e-11,0.5706977561,0.6416575031,0.3659799185,0.3586619845,1,21070.829297883996,-11275.932131208263,-2191.8191732883643,23998.553373413488
14.66666667,7.266264222e-10,-3.578312571e-10,-6.955535038e-11,0.5665150692,0.6335363283,0.3760478512,0.3691617677,1,22421.348611018213,-11041.518879903437,-2146.25385340343,25084.62513802671
15.33333333,7.72344558e-10,-3.472630646e-10,-6.750110185e-11,0.5620494919,0.6248541079,0.3863765809,0.3799616431,1,23832.06287807459,-10715.418533162085,-2082.8663670451047,26213.083520797434
16,8.197047146e-10,-3.334499648e-10,-6.481610725e-11,0.5573014132,0.6156296558,0.3968933979,0.3910126501,1,25293.444612839994,-10289.190809324455,-2000.0160906086505,27379.296051143916
16.66666667,8.683551536e-10,-3.161614071e-10,-6.145555205e-11,0.5522738853,0.605888327,0.4075253184,0.4022636022,1,26794.640302360127,-9755.721660212355,-1896.3201921886082,28578.363919505617
17.33333333,9.179068976e-10,-2.952190787e-10,-5.738477579e-11,0.5469729149,0.595662065,0.4182002464,0.4136615629,1,28323.64735820612,-9109.508927731255,-1770.7091617411156,29805.160014868332
18,9.679412414e-10,-2.705050805e-10,-5.258086117e-11,0.5414077318,0.5849892967,0.4288480779,0.4251523453,1,29867.54588788904,-8346.914625783676,-1622.4758452777894,31054.3669876523
18.66666667,1.018018835e-9,-2.419686339e-10,-4.703393785e-11,0.535591025,0.5739146742,0.4394017221,0.4366810361,1,31412.778966954593,-7466.37189049322,-1451.3156759300327,32320.515293310105
19.33333333,1.067690034e-9,-2.096309803e-10,-4.074813475e-11,0.5295391297,0.5624886712,0.4497980129,0.4481925395,1,32945.47201895555,-6468.536162977684,-1257.3560588566434,33598.02123492211
20,1.116506127e-9,-1.735882006e-10,-3.374212809e-11,0.5232721552,0.5507670449,0.4599784928,0.4596321355,1,34451.77925681653,-5356.372190028463,-1041.1732819912313,34881.22501864945
20.66666667,1.16403098e-9,-1.340117731e-10,-2.604924988e-11,0.5168140381,0.538810181,0.4698900528,0.4709460448,1,35918.24299147426,-4135.171239105779,-803.7958636938268,36164.42877416714
21.33333333,1.209852605e-9,-9.114678942e-11,-1.77171411e-11,0.5101925111,0.5266823429,0.4794854171,0.482081991,1,37332.15060157431,-2812.4960473820856,-546.693851003893,37441.93473529233
22,1.253594123e-9,-4.530785924e-11,-8.806955686e-12,0.5034389778,0.5144508459,0.4887234707,0.4929897483,1,38681.87281630431,-1398.054455222345,-271.75425721478126,38708.08302167422
22.66666667,1.29492366e-9,3.127156833e-12,6.078577119e-13,0.4965882874,0.5021851816,0.4975694285,0.5036216636,1,39957.169074047495,96.49397733395644,18.756529143464682,39957.289989525874
23.33333333,1.333562696e-9,5.372534413e-11,1.0443149e-11,0.489678406,0.4899561138,0.5059948544,0.5139331402,1,41149.44514560387,1657.7908993984981,322.2419074947399,41184.08608071977
24,1.369292522e-9,1.06008533e-10,2.060597141e-11,0.4827499851,0.4778347676,0.5139775424,0.5238830716,1,42251.952376391746,3271.081537248878,635.8338402468906,42383.153949565974
24.66666667,1.401958518e-9,1.594643074e-10,3.099672137e-11,0.4758458325,0.4658917307,0.5215012726,0.5334342149,1,43259.91969173461,4920.554383922279,956.4588823114337,43549.36647959436
25.33333333,1.431472094e-9,2.135577913e-10,4.151142949e-11,0.4539226983,0.4687436061,0.5157324571,0.5552059513,1,44170.61348986303,6589.704889672222,1280.9088735295263,44677.82485916393
26,1.457810246e-9,2.677437686e-10,5.204411651e-11,0.4468550303,0.4595492187,0.5211970402,0.5634613942,1,44983.323941506154,8261.709443530322,1605.9136356343174,45763.89662562526
26.66666667,1.481012801e-9,3.21478709e-10,6.248913084e-11,0.4416899948,0.4526586612,0.5252027885,0.5693611471,1,45699.279979474355,9919.79645288087,1928.213101198688,46803.25371245687
27.33333333,1.501177533e-9,3.742323114e-10,7.274339237e-11,0.4393091123,0.4490125448,0.5273391939,0.5721089171,1,46321.49859416617,11547.602535566763,2244.6265503773916,47791.91045228706
28,1.518453437e-9,4.254982375e-10,8.270847894e-11,0.4405832574,0.4496063668,0.5271308046,0.5708534165,1,46854.57729089414,13129.503724178394,2552.116992644089,48726.26173118281
28.66666667,1.533032506e-9,4.748037858e-10,9.229250667e-11,0.4464448673,0.4556551615,0.5238704503,0.5644688702,1,47304.4403546173,14650.913974502893,2847.849187712615,49603.120895239896
29.33333333,1.545140446e-9,5.217183361e-10,1.014117714e-10,0.457906988,0.4687381557,0.5163983034,0.551306198,1,47678.05234477772,16098.545735567484,3129.2402950830738,50419.75798252005
30,1.555026755e-9,5.658604833e-10,1.099921357e-10,0.4759294748,0.4908377535,0.5027845743,0.5289396058,1,47983.11196522769,17460.6300757068,3394.002672698463,51173.93761135191
30.66666667,1.562954642e-9,6.069038589e-10,1.179701597e-10,0.500919124,0.5239825208,0.4799609083,0.4941253642,1,48227.74099707265,18727.0963152833,3640.178770712463,51863.9570372852
31.33333333,1.569191234e-9,6.445817043e-10,1.25293991e-10,0.5316240783,0.5688381091,0.4437701922,0.443697038,1,48420.18211826574,19889.713143980076,3866.168591242811,52488.68435093175
32,1.573998471e-9,6.786903207e-10,1.319240343e-10,0.5639121911,0.6218374341,0.3908899794,0.377526516,1,48568.517952663904,20942.195073591764,4070.750350994081,53047.59635495963
32.66666667,1.57762508e-9,7.090915495e-10,1.378334346e-10,0.5917233662,0.6735819283,0.3236394979,0.3023380874,1,48680.42341354525,21880.27897517126,4253.095391251765,53540.81669306561
33.33333333,1.580299926e-9,7.357144636e-10,1.430084049e-10,0.6111774323,0.7140247116,0.2524057649,0.2300482283,1,48762.96053690666,22701.776267094665,4412.778289647702,53969.15395148163
34,1.582226972e-9,7.58556444e-10,1.474484361e-10,0.6227648594,0.7400378811,0.1889289346,0.169746052,1,48822.42296331369,23406.606135466114,4549.783336997324,54334.139573597364
34.66666667,1.583582018e-9,7.77683808e-10,1.51166419e-10,0.629071388,0.7547792647,0.1387926093,0.123749998,1,48864.23531395459,23996.814918344367,4664.508301826306,54638.0660047609
35.33333333,1.584511276e-9,7.932321279e-10,1.541887062e-10,0.6323772131,0.7626240801,0.101794786,0.09022967598,1,48892.90921973481,24476.585939797227,4757.76634040499,54884.02474115213
36,1.585131757e-9,8.054063525e-10,1.565551358e-10,0.6340885769,0.7666986038,0.07548595364,0.0663837211,1,48912.055262849215,24852.24325899984,4830.786728053965,55075.944344627096
36.66666667,1.58553335e-9,8.14480814e-10,1.583190324e-10,0.6349689911,0.7687983222,0.05730403609,0.04979726601,1,48924.447128019056,25132.2518831464,4885.214890000854,55218.62852354931
37.33333333,1.585782359e-9,8.207991852e-10,1.595471994e-10,0.6354169987,0.7698730494,0.04521615237,0.03868106953,1,48932.130742907946,25327.216446780207,4923.112163783129,55317.7941114817
38,1.585926177e-9,8.247744408e-10,1.603199108e-10,0.6356387222,0.7704108028,0.03772332231,0.03174209646,1,48936.5685026921,25449.88001763639,4946.955546222557,55380.109235239564
38.66666667,1.585998637e-9,8.268888923e-10,1.607309185e-10,0.63574021,0.7706600717,0.03368182936,0.02798166507,1,48938.804384667645,25515.125173543398,4959.63791867966,55413.231231419435
39.33333333,1.586025504e-9,8.276943949e-10,1.608874924e-10,0.6357767539,0.7707506665,0.03208522996,0.02649277893,1,48939.63341366347,25539.980386689924,4964.4692844104275,55425.84480269224
40,1.586029422e-9,8.278128812e-10,1.609105238e-10,0.6357821966,0.7707642131,0.03183949707,0.02626352527,1,48939.75431051111,25543.636491886165,4965.179959156931,55427.70001749687
